# file...... V_tm_8.csv,,,,,,,,,
# date...... Fri May 18 11:44:36 2012,,,,,,,,,
# user...... Luca Meschiari,,,,,,,,,
# host...... (null),,,,,,,,,
# target.... triplex_meter 67,,,,,,,,,
# trigger... (none),,,,,,,,,
# interval.. 1800,,,,,,,,,
# limit..... 1000000,,,,,,,,,
# timestamp,measured_real_power, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag,,
2009-07-23 23:00:00 PDT,300,-60.0462,-103.758,-60.0458,-103.877,-120.092,-207.635,119.8802265,119.9830372
2009-07-23 23:30:00 PDT,216,-60.0312,-103.789,-60.0309,-103.875,-120.062,-207.664,119.8995475,119.9738496
2009-07-24 00:00:00 PDT,317,-60.0406,-103.766,-60.0402,-103.891,-120.081,-207.657,119.884346,119.992356
2009-07-24 00:30:00 PDT,225,-60.0495,-103.767,-60.0492,-103.856,-120.099,-207.624,119.889669,119.9665585
2009-07-24 01:00:00 PDT,165,-60.0289,-103.827,-60.0287,-103.892,-120.058,-207.719,119.9312918,119.987468
2009-07-24 01:30:00 PDT,156,-60.0521,-103.779,-60.0519,-103.841,-120.104,-207.62,119.9013576,119.9549248
2009-07-24 02:00:00 PDT,152,-60.024,-103.84,-60.0238,-103.9,-120.048,-207.74,119.9400941,119.9919438
2009-07-24 02:30:00 PDT,149,-60.023,-103.841,-60.0228,-103.9,-120.046,-207.741,119.9404594,119.9914435
2009-07-24 03:00:00 PDT,147,-60.0206,-103.848,-60.0204,-103.906,-120.041,-207.754,119.9453189,119.9954385
2009-07-24 03:30:00 PDT,145,-60.0221,-103.845,-60.0219,-103.902,-120.044,-207.747,119.9434722,119.9927251
2009-07-24 04:00:00 PDT,144,-60.02,-103.849,-60.0198,-103.906,-120.04,-207.755,119.9458845,119.9951384
